"kuerzel";"kurzbezeichnung";"kuerzelStatistik";"bezeichnung";"sortierung";"kuerzelSchulgliederung";"istSichtbar";"anzahlRestabschnitte";"idBildungsstufe";"idFolgejahrgang";"gueltigVon";"gueltigBis"
"05";"Jg. 05";"05";"Jahrgang 5";"10";"***";"true";"12";"";"";"";""
"06";"Jg. 06";"06";"Jahrgang 6";"20";"***";"true";"10";"";"";"";""
"07";"Jg. 07";"07";"Jahrgang 7";"30";"***";"true";"8";"";"";"";""
"08";"Jg. 08";"08";"Jahrgang 8";"40";"***";"true";"6";"";"";"";""
"09";"Jg. 09";"09";"Jahrgang 9";"50";"***";"true";"4";"";"";"";""
"10";"Jg. 10";"10";"Jahrgang 10";"60";"***";"true";"2";"";"";"";""
"EF";"EF";"EF";"Einführungsphase";"70";"***";"true";"3";"";"";"";""
"Q1";"Q1";"Q1";"Qualifikationsphase 1";"80";"***";"true";"2";"";"";"";""
"Q2";"Q2";"Q2";"Qualifikationsphase 2";"90";"***";"true";"1";"";"";"";""
